Isla	Estudio	Pradera	Sitio	Lat	Long	Profundidad	Fecha	Cober	Densidad 	Longitud	ZEC
Gran Canaria	Perez1996	Juncalillo	V	27,7811	-15,5117	12	01/12/1994		247	12,6	no
Gran Canaria	CIMA	Castillo 	SEB-1	28,0767	-15,4131	16	25/02/2007	3	240	12,6	no
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/03/2016		384	12,6	si
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/01/2020		1050	12,6	si
Gran Canaria	Perez1996	Taliarte	100	27,9889	-15,3694	8	01/08/1994		1371	12,61	no
Lanzarote	Barberá.et.al.2005	Playa.Blanca	B	28,8614	-13,8303	7	01/03/2003	94 ,2	692	12,7	no
El Hierro	CCV	Caleta	A	27,7994	-17,8877	15	20/03/2005	87,5	179	12,7	no
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/03/2015		522	12,9	si
Fuerteventura	CCV	Costa.Calma	B	28,1511	-14,2220	15	12/03/2005		180	13	si
Tenerife	CCV	Medano	A	28,0402	-16,5392	5	04/04/2005	100	362	13	si
Tenerife	CCV	Americas	A	28,0758	-16,7397	11	02/10/2004	43	114	13	si
Lanzarote	CCV	Playa.Blanca	A	28,8598	-13,8273	7	10/03/2004	77,5	528	13,1	no
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/01/2021		869	13,1	si
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/01/2019		693	13,1	si
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/01/2019		842	13,2	no
Gran Canaria	CCV	Maspalomas	A	27,7286	-15,6009	16	02/05/2004	65	22	13,3	si
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/08/2018		778	13,3	no
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/01/2021		661	13,3	no
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/01/2021		986	13,3	no
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	01/01/2020		1376	13,4	si
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/01/2017		426	13,4	no
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/01/2019		762	13,5	si
Gran Canaria	Perez1996	Gando	pìscina	27,9310	-15,3644	17	01/05/1995		2971	13,7	si
Gran Canaria	Tuya.et.al.2013	Pasito	A	27,7438	-15,6178	8	01/08/2011		81	13,7	no
Lanzarote	CCV	Playa.Quemada	A	28,9044	-13,7348	8	10/03/2004	95	520	13,8	no
Gran Canaria	Perez1996	Gando	media	27,9325	-15,3694	18	01/05/1995		1498	14	si
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/01/2017		293	14	no
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/09/2016		1082	14	no
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/01/2020		1024	14,1	si
Fuerteventura	Plan.Conservación.C.nodosa	Puerto.Lajas	Bahía Puerto Lajas	28,5365	-13,8370	3,6	27/03/2006	98,8	986,12	14,2	no
Gran Canaria	Perez1996	Montaña.Arena		27,7463	-15,6389	6	01/07/1994		1104	14,24	no
Tenerife	CCV	Medano	B	28,0402	-16,5392	6	12/10/2003	100	360	14,25	si
Tenerife	CIMA	Granadilla	BU8-final	28,0469	-16,5238	24,3	01/09/2008		105,6	14,26	no
Lanzarote	CCV	Playa.Blanca	B	28,8598	-13,8273	8	14/10/2003	95	514	14,3	no
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/03/2016		581	14,3	si
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/01/2021		533	14,3	si
Tenerife	CIMA	Granadilla	BU7-inicio	28,0416	-16,5397	3,3	01/09/2008		377,6	14,32	no
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/01/2019		613	14,4	no
Gran Canaria	Perez1996	Arinaga	media	27,8483	-15,3950	7	01/09/1994		2577	14,5	no
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/01/2018		357	14,5	no
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/01/2018		336	14,5	si
Lanzarote	CCV	Playa.Blanca	B	28,8598	-13,8273	6	10/10/2004	90	966	14,6	no
Gran Canaria	Barberá.et.al.2005	Gando	A	27,9327	-15,3742	6	11/03/2003	46,2	438	14,6	si
Tenerife	CIMA	Granadilla	BU5-inicio	28,0273	-16,5913	8	01/09/2008		284,8	14,64	no
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/03/2015		469	14,7	no
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/01/2018		506	14,7	no
Gran Canaria	CIMA	Arinaga	S4M2	27,8135	-15,4127	19	30/05/2005	19,37	305,92	14,75	no
Gran Canaria	CIMA	Taliarte	SEB-2	27,9889	-15,3694	5,5	25/02/2007	22	192	14,8	no
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/09/2021		848	14,8	si
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/01/2020		1578	14,8	no
Gran Canaria	Perez1996	Arinaga	media	27,8508	-15,3975	7	01/02/1996		812	14,9	no
Fuerteventura	CCV	Gran.Tarajal	B	28,2054	-14,0262	6	16/10/2003	76,2	276	15	si
Gran Canaria	Perez1996	Gando	castillo	27,9313	-15,3706	11	01/05/1995		1968	15	si
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/03/2015		763	15	no
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/08/2017		266	15	no
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/02/2014		554	15	si
Tenerife	CIMA	Granadilla	BU15-inicio	28,1003	-16,4727	15,7	12/05/2004		230,4	15,06	no
Lanzarote	CCV	Caleta.Sebo	A	29,2273	-13,4998	10	10/10/2003	87,5	260	15,1	si
Gran Canaria	Barberá.et.al.2005	Maspalomas	B	27,7286	-15,6009	16	01/03/2003	77,5	164	15,1	si
Gran Canaria	P.Conservación.C.nodosa	Canteras	Las palmas	28,1443	-15,4348	3,6	03/03/2005	36,1	183,18	15,1	si
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	29/03/2012	33	624	15,1	si
Tenerife	Reyes.et.al.1996	Medano	A	28,0430	-16,5376	6	01/02/1991	100	1001	15,1	si
Gran Canaria	Perez1996	Tenefe	I 	27,7978	-15,4400	21	01/12/1994		698	15,2	no
Gran Canaria	CIMA	Taliarte	SEB-2	27,9889	-15,3694	5,5	06/12/2006	23	176	15,2	no
