Isla	Estudio	Pradera	Sitio	Lat	Long	Profundidad	Fecha	Cober	Densidad 	Longitud	ZEC
Gran Canaria	CIMA	Tufia	SEB-3	27,9600	-15,3797	3	06/12/2006	28	240	25,6	no
Lanzarote	Caracterización.DMA 	Playa.Quemada	Playa Quemada	28,9054	-13,7349	12,8	23/08/2008	58,4	297,6	25,66	no
Lanzarote	Elittoral.Reconocimiento.aguas	Playa.Quemada	B	28,9053	-13,7349	13	01/08/2008	52,8	297,6	25,66	no
Fuerteventura	Elittoral.Reconocimiento.aguas	Gran.Tarajal	B	28,2054	-14,0262	12	01/08/2008	61,2	475	25,7	si
Fuerteventura	Caracterización.DMA 	Gran.Tarajal	Espigón muelle	28,2045	-14,0354	13,6	25/08/2008	74,4	475,73	25,73	si
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Playa Gran Tarajal	28,2085	-14,0217	7,8	05/04/2005	58,5	433,36	25,8	si
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Playa Aceituno	28,2059	-14,0323	10,8	06/08/2005	52,6	364,16	25,8	si
Gran Canaria	PN.Indicadores 	Ingles	Inglès	27,7493	-15,5647	8,1	22/11/2007	82,6	492,5	25,8	si
Fuerteventura	CCV	Gran.Tarajal	B	28,2054	-14,0262	10	14/03/2005	100	424	25,9	si
Tenerife	Plan.Conservación.C.nodosa	San.Juan	San.Juan	28,1768	-16,8133	12,4	24/04/2006	74,1	326,66	25,9	si
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Playa Aceituno	28,2059	-14,0323	10,5	19/02/2004	42,11	544,44	25,98	si
Tenerife	CIMA	Igueste	IG-7	28,5155	-16,1519	23,5	01/04/2006		390,4	26	si
Tenerife	CIMA	Igueste	IG-5	28,5152	-16,1667	15	01/04/2006		211,2	26	si
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Espigón muelle	28,2053	-14,0266	12,6	18/02/2004	52,56	657,94	26,01	si
Tenerife	CIMA	Granadilla	BU11-inicio	28,0631	-16,5113	8	17/05/2004		512	26,04	no
Tenerife	CIMA	Granadilla	BU8-final	28,0469	-16,5238	24,3	18/05/2004		377,6	26,04	no
Lanzarote	Plan.Conservación.C.nodosa	Playa.Quemada	Playa Quemada	28,9054	-13,7349	9,8	04/04/2006	75,2	384,6	26,1	no
El Hierro	CCV	Caleta	B	27,7994	-17,8877	11	20/03/2005	100	315	26,1	no
Gran Canaria	CCV	Maspalomas	B	27,7286	-15,6009	11	18/10/2003	75	426	26,2	si
Gran Canaria	CIMA	Tarajalillo	TAR-2	27,7628	-15,5550	11,3	18/05/2008		288	26,2	no
Gran Canaria	Proy.Venturi	Ingles	Inglès	27,7630	-15,5598	5,6	12/05/2009	86,8	428,3	26,2	si
Tenerife	CIMA	Granadilla	BU9-final	28,0513	-16,5194	24,8	17/05/2004		467,2	26,24	no
Lanzarote	Plan.Conservación.C.nodosa	Arrieta	Arrieta	29,1240	-13,4586	11,5	03/04/2006	80,2	369,12	26,3	no
Lanzarote	Elittoral.Reconocimiento.aguas	Arrieta	A	29,1240	-13,4586	9	01/08/2008	56	377	26,3	no
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Bocaina puerto	28,2066	-14,0236	8,7	04/04/2005	55,6	405,45	26,3	si
Lanzarote	Caracterización.DMA 	Arrieta	Arrieta	29,1240	-13,4586	9,2	22/08/2008	83,2	377,6	26,33	no
Gran Canaria	Perez1996	Pasito	300S	27,7444	-15,6150	8	01/05/1995		914	26,4	no
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	01/09/2015		1184	26,4	si
Gran Canaria	Proy.Venturi	Ingles	Inglès	27,7630	-15,5598	5,8	12/11/2010	83,8	398,4	26,5	si
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/09/2021		1552	26,5	si
Fuerteventura	Plan.Conservación.C.nodosa	Tarajalejo	Tarajalejo	28,1864	-14,1239	8,8	28/03/2006	80,5	458,3	26,6	si
Gran Canaria	PVA.Procría	Juncalillo	Castillo del Romeral	27,7884	-15,4923	7	08/06/2010	84	373,3	26,6	no
Gran Canaria	P.Conservación.C.nodosa	Cochino	Cochino	27,7608	-15,5596	5,8	13/03/2006	75,5	458,5	26,6	no
Gran Canaria	Elittoral.PVA Sur	Veril	B	27,7618	-15,5571		01/08/2008	32	329,2	26,6	no
Gran Canaria	Est.Preoperacional.PCR	Juncalillo	Castillo del Romeral	27,7885	-15,4951	6,6	06/07/2005	57,45	376	26,6	no
Tenerife	Mruiz	Abades	Abades	28,1402	-16,4391	18	19/07/2006	64,5	424,12	26,6	no
Tenerife	Plan.Conservación.C.nodosa	Abrigos	Los Abrigos	28,0265	-16,5957	11,3	20/04/2006	78,4	471,16	26,6	si
Tenerife	CIMA	San.Blas 	M5	28,0251	-16,5988	11,8	13/10/2004		569,6	26,6	no
Tenerife	CIMA	Granadilla	BU11-centro	28,0620	-16,5088	13	17/05/2004		657,6	26,66	no
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Playa Gran Tarajal	28,2085	-14,0217	7,7	06/08/2005	68,11	438,12	26,7	si
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/08/2018		1930	26,7	no
Tenerife	Reyes.et.al.1996	Medano	A	28,0430	-16,5376	6	01/07/1991	100	1652	26,7	si
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	27/03/2012	66	505	26,7	si
Tenerife	CIMA	Granadilla	BU9-centro	28,0521	-16,5211	14,3	17/05/2004		382,4	26,72	no
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Espigón muelle	28,2053	-14,0266	11,6	12/08/2004	61,6	512,6	26,8	si
Tenerife	DEA.Mruiz	Abades	Abades	28,1402	-16,4391	10,8	09/09/2006	92,25	458,6	26,8	no
Tenerife	Plan.Conservación.C.nodosa	La.Caleta	La Caleta	28,0939	-16,7598	14,5	24/04/2006	85,4	452,8	26,8	si
El Hierro	P.Conservación.C.nodosa	Estaca	Fuera Espigón 	27,7832	-17,8996	21	02/02/2006	92,8	346,18	26,9	no
Fuerteventura	Barberá.et.al.2005	Gran.Tarajal	A	28,2082	-14,0219	14	18/03/2003	84,7	290	27	si
Gran Canaria	Perez1996	Roque.Arinaga		27,8639	-15,3800	14	01/08/1995		1396	27,1	no
Tenerife	Reyes.et.al.1996	Medano	A	28,0430	-16,5376	6	01/02/1992	100	1186	27,1	si
Tenerife	CIMA	Granadilla	BU5-centro	28,0263	-16,5904	12,4	18/05/2004		702,4	27,15	no
Fuerteventura	Elittoral.Reconocimiento.aguas	Gran.Tarajal	A	28,2054	-14,0262	7	01/08/2008	88	767	27,2	si
Gran Canaria	Proy.Venturi	Ingles	Inglès	27,7630	-15,5598	5,9	29/11/2011	87,2	454,66	27,2	si
Gran Canaria	Perez1996	Arinaga	interna	27,8533	-15,3967	5	01/02/1996		1638	27,2	no
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Bocaina puerto	28,2066	-14,0236	8,8	18/02/2004	45,44	636,11	27,41	si
Tenerife	CIMA	San.Blas 	M1	28,0216	-16,5983	26	11/10/2004		179,2	27,42	no
Gran Canaria	Tuya.2a.Metodologia	Pasito	seba corr	27,7438	-15,6178	8	01/12/2012		28	27,5	no
Gran Canaria	PVA.Procría	Juncalillo	Castillo del Romeral	27,7884	-15,4923	7,5	10/11/2010	86	311,1	27,56	no
Gran Canaria	Perez1996	Arinaga	media	27,8508	-15,3975	5	01/06/1995		1536	27,6	no
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	10/10/2011	33	509	27,6	no
Fuerteventura	Caracterización.DMA 	Gran.Tarajal	Espigón muelle	28,2045	-14,0354	7,8	25/08/2008	100	766,93	27,66	si
Gran Canaria	Tuya.2a.Metodologia	Pasito	seba 8	27,7438	-15,6178	8	01/12/2012		31,5	27,66667	no
Gran Canaria	PVA.Emisarios.Cochinos	Ingles	Inglès	27,7849	-15,5641	6,9	03/11/2011	96,13	609,48	27,7	si
Gran Canaria	PVA.Emisarios.Cochinos	Ingles	Inglès	27,7849	-15,5641	7,1	06/11/2012	89,33	433,19	27,7	si
Gran Canaria	CIMA	Arinaga	S4M1	27,8328	-15,4126	15,5	30/05/2005	30,62	560	27,73	no
Lanzarote	Elittoral.Reconocimiento.aguas	Playa.Blanca	A	28,8598	-13,8273	7	01/02/2009	82,4	592	27,8	no
Lanzarote	Caracterización.DMA 	Playa.Blanca	Pto del Rosario	28,4803	-13,8615	7	25/08/2008	98,4	592	27,8	no
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	23/03/2012	100	1104	27,8	si
Gran Canaria	CIMA	Burras	BUR-2	27,7656	-15,5508	7,5	20/05/2008		240	28	no
Tenerife	CIMA	Granadilla	BU6-inicio	28,0299	-16,5595	6,7	18/05/2004		297,6	28	no
Tenerife	Mruiz	La.Caleta	Adeje	28,0939	-16,7598	22,5	18/07/2006	50,63	392,56	28,13	si
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Espigón muelle	28,2053	-14,0266	12,6	05/08/2005	66,13	492,5	28,2	si
Gran Canaria	CIMA	Burras	BUR-1	27,7653	-15,5503	7	20/05/2008		310,4	28,2	no
Tenerife	Reyes.et.al.1996	Medano	A	28,0430	-16,5376	6	01/07/1990	100	1460	28,2	si
El Hierro	P.Conservación.C.nodosa	Estaca	Fuera Espigón 	27,7832	-17,8996	12	02/02/2006	94,6	396,15	28,2	no
Gran Canaria	CCV	Maspalomas	A	27,7286	-15,6009	11	18/10/2003	57,5	406	28,25	si
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Bocaina puerto	28,2066	-14,0236	7,8	12/08/2004	55,8	428,4	28,4	si
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/08/2017		1040	28,4	no
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/09/2014		827	28,5	no
Tenerife	Jacumar.Alc.Esp.Vert.Org	La.Caleta	Adeje	28,0939	-16,7598	12,6	14/06/2005	67,1	480,56	28,6	si
Gran Canaria	Perez1996	Roque.Arinaga	A	27,8583	-15,3800	12	01/05/1995		1294	28,6	no
Fuerteventura	Plan.Conservación.C.nodosa	Gran.Tarajal	Espigón muelle	28,2045	-14,0354	9,8	28/03/2006	89,6	498,6	28,7	si
Gran Canaria	Perez1996	Arinaga	enfilaciòn	27,8483	-15,3950	9	01/05/1995		1701	28,7	no
Tenerife	Plan.Conservación.C.nodosa	Medano	Bahía	28,0392	-16,5379	8,6	19/04/2006	94,3	694,54	28,7	si
Gran Canaria	P.Conservación.C.nodosa	Arguineguín	Santa.Agueda	27,7525	-15,6697	5,4	16/03/2006	62,5	324,2	28,8	no
Gran Canaria	PN.Indicadores 	Arinaga	Bahía	27,7525	-15,6697	6,9	23/11/2007	92,1	582,32	28,8	no
Gran Canaria	PN.Indicadores 	Cabrón	Cabrón	27,8704	-15,3851	9,2	11/06/2007	92,5	697,89	28,8	si
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/08/2018		1722	28,8	si
Gran Canaria	P.Conservación.C.nodosa	Bahia.Feliz	Bahia.Feliz	27,7773	-15,5214	4,9	10/03/2006	58,4	356,6	29	no
Tenerife	CIMA	Igueste	IG-9	28,5316	-16,1303	13,5	21/04/2005		348,8	29	si
Tenerife	CIMA	Granadilla	BU10-inicio	28,0591	-16,5167	6	01/09/2008		160	29,02	no
Lanzarote	Caracterización.DMA 	Playa.Quemada	Playa Quemada	28,9054	-13,7349	7	23/08/2008	95,2	569,6	29,06	no
Lanzarote	Elittoral.Reconocimiento.aguas	Playa.Quemada	A	28,9053	-13,7349	7	01/08/2008	83,6	569,6	29,06	no
Gran Canaria	Proy.Venturi	Ingles	Inglès	27,7630	-15,5598	6,1	16/06/2010	92,4	492,6	29,1	si
Gran Canaria	P.Conservación.C.nodosa	Cura	Cura	27,7913	-15,7328	11,3	16/03/2006	81,5	356,68	29,16	si
Gran Canaria	CIMA	Arinaga	S3M2	27,8344	-15,4116	17	29/05/2005	24,5	984	29,25	no
Gran Canaria	Tuya.2a.Metodologia	Pasito	seba 6	27,7438	-15,6178	8	01/12/2012		30,83333333	29,33333	no
Fuerteventura	Est.Preop.GT	Gran.Tarajal	Playa Aceituno	28,2059	-14,0323	10,5	21/08/2003	72,11	628,8	29,4	si
Fuerteventura	Plan.Conservación.C.nodosa	Morrojable	Cerca de la punta de MJ	28,0474	-14,3187	10,1	29/03/2006	92,4	578,8	29,4	si
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Bocaina puerto	28,2066	-14,0236	8,9	05/08/2005	45,2	305,6	29,5	si
Fuerteventura	Plan.Conservación.C.nodosa	Jandía	Jandía	28,0917	-14,2746	10,5	29/03/2006	96,4	692,56	29,5	si
Gran Canaria	PN.Indicadores 	Cabrón	Cabrón	27,8704	-15,3851	8,6	23/11/2007	89,9	618,23	29,5	si
Tenerife	Plan.Conservación.C.nodosa	Granadilla	Punta del Camello	28,0759	-16,4884	12,7	19/04/2006	92,6	714,45	29,5	no
Gran Canaria	Perez1996	Taliarte	150	27,9889	-15,3694	9	01/08/1994		1409	29,54	no
Fuerteventura	Est.Preop.GT	Gran.Tarajal	Playa Gran Tarajal	28,2085	-14,0217	7,8	21/08/2003	68,32	568,16	29,6	si
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Playa Aceituno	28,2059	-14,0323	9,1	13/08/2004	52,1	395,6	29,6	si
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	14/10/2011	66	592	29,6	si
Gran Canaria	Elittoral.PVA Sur	Pasito	Seba_8	27,7440	-15,6246	9	01/09/2012		834	29,8	no
Gran Canaria	P.Conservación.C.nodosa	Cabrón	Cabrón	27,8704	-15,3851	8,6	08/03/2006	86,3	712,56	29,8	si
Tenerife	CIMA	Igueste	IG-4	28,5173	-16,1612	15	20/04/2005		320	29,8	si
Tenerife	Plan.Conservación.C.nodosa	Abades	Abades	28,1402	-16,4391	12,9	18/04/2006	81,9	396,66	29,8	no
Tenerife	CIMA	Granadilla	BU10-inicio	28,0591	-16,5167	6	17/05/2004		307,2	29,85	no
Tenerife	DEA.Mruiz	Abades	Abades	28,1402	-16,4391	11,1	12/09/2007	90	458	29,9	no
Tenerife	CIMA	San.Blas 	M2	28,0248	-16,5996	11	12/10/2004		473,6	29,9	no
Tenerife	CCV	Americas	A	28,0758	-16,7397	12	12/10/2003		168	30	si
Tenerife	CCV	Americas	B	28,0758	-16,7397	12	12/10/2003		402	30	si
Gran Canaria	PN.Indicadores	Güi-güi	Güi-güi	27,9425	-15,8331	11,4	08/06/2007	79,6	412,82	30,05	si
Gran Canaria	Perez1996	Roque.Arinaga		27,8639	-15,3800	14	01/08/1994		1193	30,1	no
Tenerife	CIMA	Granadilla	BU5-final	28,0253	-16,5897	21	18/05/2004		268,8	30,12	no
Tenerife	CIMA	Granadilla	BU7-inicio	28,0416	-16,5397	3,3	18/05/2004		502,4	30,17	no
Gran Canaria	PVA.Emisarios.Cochinos	Ingles	Inglès	27,7849	-15,5641	6,8	20/10/2010	88,6	348,44	30,26	si
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/09/2021		1333	30,3	no
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	27/03/2012	100	1242	30,4	no
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Playa Gran Tarajal	28,2085	-14,0217	6,9	13/08/2004	45,8	456,8	30,5	si
Fuerteventura	Est.Preop.GT	Gran.Tarajal	Espigón muelle	28,2053	-14,0266	12,6	20/08/2003	63,26	828,12	30,51	si
Fuerteventura	PVA.Muelle.GT	Gran.Tarajal	Playa Gran Tarajal	28,2085	-14,0217	7,8	19/02/2004	48,56	458,33	30,59	si
Tenerife	Plan.Conservación.C.nodosa	Teno	Teno	28,3292	-16,9013	17,5	25/04/2006	66,6	329,16	30,6	si
Gran Canaria	CIMA	Arinaga	S1M2	27,8538	-15,3945	9	29/05/2005	74,37	1552	30,7	no
Lanzarote	CCV	Caleta.Sebo	A	29,2273	-13,4998	10	16/10/2004	100	758	31,1	si
Fuerteventura	Est.Preop.GT	Gran.Tarajal	Bocaina puerto	28,2066	-14,0236	8,8	20/08/2003	55,48	526,52	31,12	si
Fuerteventura	Plan.Conservación.C.nodosa	Esquinzo	Esquinzo	28,0651	-14,3034	10,7	29/03/2006	94,2	601,23	31,2	si
Tenerife	DEA.Mruiz	Abades	Abades	28,1402	-16,4391	10,8	02/08/2008	75	304	31,2	no
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/08/2018		1504	31,2	si
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/09/2021		1045	31,2	si
Tenerife	CIMA	San.Blas 	M7	28,0231	-16,5973	20,7	12/10/2004		499,2	31,2	no
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/09/2014		896	31,3	si
Tenerife	CIMA	Igueste	IG-9	28,5316	-16,1303	13,5	01/04/2006		544	31,48	si
Gran Canaria	Proy.Venturi	Ingles	Inglès	27,7630	-15,5598	6,7	28/05/2011	89,6	684,4	31,5	si
Gran Canaria	P.Conservación.C.nodosa	Burras	Burras	27,7658	-15,5488	5,3	13/03/2006	64,8	412,6	31,5	no
Gran Canaria	PN.Indicadores	Veneguera	Veneguera	27,8416	-15,7944	12,1	08/06/2007	91,2	492,5	31,5	si
Tenerife	Plan.Conservación.C.nodosa	Montaña.Pelada	Montaña Pelada	28,0549	-16,5143	9,1	19/04/2006	96,5	762,63	31,5	si
Tenerife	Plan.Conservación.C.nodosa	Los.Cristianos	Fuera muelle 	28,0454	-16,7217	12,8	24/04/2006	71,4	422,15	31,5	si
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/09/2015		821	31,8	si
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/08/2018		1733	31,8	si
Fuerteventura	CCV	Gran.Tarajal	A	28,2054	-14,0262	10	14/03/2005	100	510	32	si
Gran Canaria	CCV	S.Agueda	A	27,7529	-15,6670	10	10/06/2005	94,5	198	32	no
Gran Canaria	Perez1996	Arinaga	enfilaciòn	27,8483	-15,3950	9	01/10/1995		1485	32	no
Tenerife	Plan.Conservación.C.nodosa	Masca	Masca	28,2864	-16,8656	18,6	25/04/2006	69,4	358,58	32,1	si
Tenerife	Reyes.et.al.1996	Medano	A	28,0430	-16,5376	6	01/07/1992	100	1850	32,2	si
Gran Canaria	PN.Indicadores 	Güi-güi	Güi-güi	27,9425	-15,8331	16,8	26/11/2007	72,4	362,45	32,5	si
Gran Canaria	CIMA	Arinaga	S1M1	27,8525	-15,3958	8	29/05/2005	60,62	1536	32,51	no
Tenerife	Plan.Conservación.C.nodosa	Igueste	Espigón norte	28,5063	-16,1803	10,6	17/04/2006	82,8	416,46	32,6	si
Tenerife	Seguim.Aut.Port.TF	Igueste	San Andrés	28,5063	-16,1803	12	16/08/2011	85,5	465,6	32,63	si
Tenerife	CIMA	Granadilla	BU5-inicio	28,0273	-16,5913	8	18/05/2004		332,8	32,79	no
Gran Canaria	Elittoral.PVA Sur	Pasito	Seba_corr	27,7437	-15,6204	9	01/09/2012		405	32,8	no
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	01/10/2011	33	1280	32,8	si
Tenerife	OAG	Igueste	TSA11 (S Andrès)	28,5019	-16,1883	11	01/08/2009	80	1150	33	si
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/09/2014		762	33,1	no
Tenerife	CIMA	Granadilla	BU13-inicio	28,0809	-16,4888	12	12/05/2004		387,2	33,12	no
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/09/2016		613	33,3	no
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/09/2016		1269	33,4	si
Tenerife	CIMA	Granadilla	BU7-final	28,0380	-16,5335	21,6	18/05/2004		464	34,11	no
Gran Canaria	P.Conservación.C.nodosa	Güi-güi	Güi-güi	27,9425	-15,8331	14,8	17/03/2006	81,3	426,89	34,18	si
Gran Canaria	P.Conservación.C.nodosa	Pasito	Detrás espigón	27,7444	-15,6238	12,8	14/03/2006	70,8	451,23	34,2	no
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/09/2015		1029	34,2	no
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/08/2017		1450	34,4	si
Tenerife	CIMA	Granadilla	BU9-inicio	28,0524	-16,5223	10,3	17/05/2004		384	34,48	no
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/09/2015		768	34,5	si
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/09/2014		315	34,6	no
Tenerife	CIMA	Granadilla	BU6-centro	28,0273	-16,5595	15,6	18/05/2004		523,2	34,64	no
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/09/2014		762	35	si
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/09/2014		1429	35,2	no
Gran Canaria	CCV	S.Agueda	B	27,7529	-15,6670	11	10/06/2005	92,5	257	35,4	no
Gran Canaria	P.Conservación.C.nodosa	Veneguera	Veneguera	27,8416	-15,7944	13,6	17/03/2006	78,8	478,26	35,4	si
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/09/2015		427	35,7	no
Tenerife	OAG	Igueste	TSA12 (Organos)	28,5058	-16,1800	20	01/08/2009	50	360	36	si
El Hierro	Elittoral.Reconocimiento.aguas	Estaca	A	27,7828	-17,8995	11	01/08/2008	79,6	334,93	36	no
El Hierro	Caracterización.DMA 	Estaca	Fuera Espigón 	27,7832	-17,8996	11	29/08/2008	94,4	334,93	36	no
El Hierro	Elittoral.Reconocimiento.aguas	Estaca	B	27,7828	-17,8995	18	01/08/2008	70,8	322,13	36,46	no
El Hierro	Caracterización.DMA 	Estaca	Fuera Espigón 	27,7832	-17,8996	18	29/08/2008	96,8	322,13	36,46	no
Gran Canaria	PN.Indicadores 	Veneguera	Veneguera	27,8416	-15,7944	14,3	26/11/2007	82,6	326,18	36,8	si
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/09/2020		1088	37,3	si
Gran Canaria	Polifrone.et.al.2006	Tiritaña		27,8072	-15,7456		03/06/2004		238,9	37,5	no
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/09/2015		656	37,6	si
Gran Canaria	CCV	Maspalomas	B	27,7286	-15,6009	10	18/07/2003		429	38,9	si
Tenerife	OAG	Medano	TGr19	28,0390	-16,5340	12	01/08/2017		1568	39,5	si
Gran Canaria	Tuya.et.al.2013	Ingles	A	27,7487	-15,5643	8	05/05/2011	100	310	40	si
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/09/2014		933	40,3	si
Tenerife	OAG	Abejera	TGr13	28,0627	-16,5091	11	01/10/2011	33	1338	41,6	no
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	01/09/2014		928	41,9	si
Gran Canaria	CCV	Maspalomas	A	27,7286	-15,6009	9	18/07/2003		275	45,3	si
Fuerteventura	Polifrone.et.al.2006	Gran.Tarajal		28,2108	-14,0258		03_06/2004		611,1	46,5	si
Lanzarote	Espino	Punta.Mujeres	75	29,1459	-13,4381	15	01/07/2003		1137,6		no
Lanzarote	Espino	Punta.Mujeres	76	29,1422	-13,4391	20	01/07/2003		795,2		no
Lanzarote	Espino	Ancones	80	29,0121	-13,4719	25	01/07/2003		611,2		no
Lanzarote	Espino	Ancones	79	29,0129	-13,4723	20	01/07/2003		808		no
Lanzarote	Espino	Ancones	78	29,0136	-13,4726	15	01/07/2003		1150,4		no
Lanzarote	Espino	Ancones	77	29,0142	-13,4736	10	01/07/2003		801,6		no
Lanzarote	Seguimiento.ZECs	Fariones	Pta. Fariones	29,2351	-13,4773	18	21/10/2011		250,67		si
Lanzarote	Espino	Playa.Risco	74	29,2114	-13,4984	5	01/07/2003		547,2		si
Lanzarote	Seguimiento.ZECs	Caleta.Sebo	LZ_09	29,2273	-13,4999	9	01/06/2015	38,9	693,6		si
Lanzarote	Seguimiento.ZECs	Caleta.Sebo	LZ_09	29,2273	-13,4999	9	01/09/2018	62,1	296,1		si
Lanzarote	Espino	Caleta.Sebo	70	29,2201	-13,5062	10	01/07/2003		1368		si
Lanzarote	Espino	Salado	71	29,2217	-13,5072	10	01/07/2003		1947,2		si
Lanzarote	Espino	Franceses	72	29,2179	-13,5291	10	01/07/2003		1081,6		si
Lanzarote	Espino	Franceses	73	29,2170	-13,5300	15	01/07/2003		838,4		si
Lanzarote	Seguimiento.ZECs	Franceses		29,2185	-13,5303	11	01/06/2015	71,4	544,4		si
Lanzarote	Seguimiento.ZECs	Franceses		29,2185	-13,5303	12	01/09/2018	23,4	166,7		si
Lanzarote	Seguimiento.ZECs	Guasimeta	Guasimeta	28,9513	-13,5790	8	08/04/2011		650,18		si
Lanzarote	Espino	Guasimeta	81	28,9421	-13,6019	5	01/07/2003		165,76		si
Lanzarote	Espino	Guasimeta	84	28,9348	-13,6023	20	01/07/2003		144		si
Lanzarote	Espino	Guasimeta	83	28,9362	-13,6026	15	01/07/2003		737,6		si
Lanzarote	Seguimiento.ZECs	Guasimeta	LZ_04	28,9384	-13,6027	9	01/06/2015	64,1	583		si
Lanzarote	Seguimiento.ZECs	Guasimeta	LZ_04	28,9384	-13,6027	9	01/09/2018	31,3	274,9		si
Lanzarote	Espino	Guasimeta	82	28,9384	-13,6027	10	01/07/2003		990,4		si
Lanzarote	Espino	Pocillos	85	28,9249	-13,6304	5	01/07/2003		678,4		si
Lanzarote	Espino	Pocillos	86	28,9231	-13,6327	10	01/07/2003		881,6		si
Lanzarote	Seguimiento.ZECs	Pocillos		28,9231	-13,6328	8	01/06/2015	63,6	654,2		si
Lanzarote	Seguimiento.ZECs	Pocillos		28,9231	-13,6328	8	01/09/2018	24,9	274,9		si
Lanzarote	Espino	Pocillos	87	28,9205	-13,6350	15	01/07/2003		1033,6		si
Lanzarote	CCV	Playa.Quemada	A	28,9044	-13,7348	6	15/03/2005	100	324		no
Lanzarote	CCV	Playa.Quemada	B	28,9044	-13,7348	6	15/03/2005	100	696		no
Lanzarote	Espino	Playa.Quemada	88	28,9045	-13,7361	10	01/07/2003		721,6		no
Lanzarote	Espino	Playa.Quemada	89	28,9011	-13,7395	10	01/07/2003		896		no
Lanzarote	Espino	Juradita	92	28,8441	-13,7753	15	01/07/2003		577,6		no
Lanzarote	Espino	Juradita	90	28,8449	-13,7760	5	01/07/2003		689,6		no
Lanzarote	Espino	Juradita	91	28,8449	-13,7775	10	01/07/2003		544		no
Lanzarote	Espino	Papagayo	93	28,8442	-13,7906	5	01/07/2003		550,4		no
Lanzarote	Espino	Playa.Dorada	94	28,8613	-13,8239	5	01/07/2003		1168		no
Fuerteventura	Espino	Jablito	43	28,6052	-13,8253	5	01/07/2003		1286,4		si
Fuerteventura	Espino	Playa.Blanca	97	28,8551	-13,8289	15	01/07/2003		564,8		no
Fuerteventura	Espino	Playa.Blanca	95	28,8612	-13,8294	5	01/07/2003		1132,8		no
Fuerteventura	Espino	Corralejo	40	28,6705	-13,8297	10	01/07/2003		660,8		si
Fuerteventura	Espino	Corralejo	41	28,6691	-13,8298	15	01/07/2003		632		si
Fuerteventura	Espino	Corralejo	42	28,6691	-13,8298	20	01/07/2003		705,6		si
Fuerteventura	Plan.Conservación.C.nodosa	Corralejo	FV_1	28,6704	-13,8299		01/06/2015	72,6	466,6		si
Fuerteventura	Plan.Conservación.C.nodosa	Corralejo	FV_1	28,6704	-13,8299		01/09/2018	0	0		si
Fuerteventura	Espino	Playa.Blanca	96	28,8574	-13,8317	10	01/07/2003		700,8		no
